Player,Club,Fee,Date
Sebastian Leto,Club Atlético Lanús,"£1,800,000",1 July 2007
Fernando Torres,Atletico Madrid,"£20,200,000",4 July 2007
Andriy Voronin,Free Transfer,Free *,6 July 2007
Yossi Benayoun,West Ham United,"£5,000,000",12 July 2007
Ryan Babel,Ajax,"£11,500,000",13 July 2007
Charles Itandje,Lens,Undisclosed,9 August 2007
Emiliano Insúa,Boca Juniors,"£1,675,000 *",26 August 2007
Lauri Dalla Valle,JIPPO,"£600,000 *",8 November 2007
Martin Skrtel,Zenit Saint Petersburg,"£6,500,000",11 January 2008
Javier Mascherano,GSA & MSL,"£18,600,000 *",29 February 2008
Philipp Degen,Free Transfer,Free *,3 July 2008
Andrea Dossena,Udinese,"£7,000,000",4 July 2008
Diego Cavalieri,Palmeiras,"£3,500,000",11 July 2008
David N'Gog,Paris St Germain,"£1,500,000",24 July 2008
Robbie Keane,Tottenham Hotspur,"£19,000,000",28 July 2008
Albert Riera,Espanyol,"£8,000,000",31 August 2008
Glen Johnson,Portsmouth,"£17,500,000",26 June 2009
Alberto Aquilani,Roma,"£17,100,000 *",7 August 2009
Sotirios Kyrgiakos,AEK Athens,"£2,000,000",21 August 2009
Daniel Ayala,Sevilla,"£160,000",17 September 2009
Maxi Rodriguez,Atletico Madrid,Free,12 January 2010
Raheem Sterling,Queens Park Rangers,"£500,000 *",27 February 2010
Jonjo Shelvey,Charlton Athletic,"£1,700,000 *",10 May 2010
Milan Jovanovic,Standard Liege,Free *,8 July 2010
